<<<<<<< HEAD
Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2017-11-25 19:00:00,8703,(V) Amiens,(H) Metz,2,0,0.934284,1.25584,11.1475,11.0879,10.26,9.6200,12.7847,12.8054
2017-11-28 18:00:00,8705,(H) Amiens,(V) Dijon,2,1,0.875002,0.88355,11.0879,10.8686,9.62,9.1486,12.8054,12.5883
2017-12-02 19:00:00,8720,(V) Amiens,(H) Rennes,0,2,0.246144,1.54445,10.8686,10.2893,9.1486,8.7447,12.5883,12.3336
2017-12-10 14:00:00,8725,(H) Amiens,(V) Lyon,1,2,2.19279,0.953938,10.2893,10.1478,8.7447,9.1629,12.3336,11.8824
2017-12-16 19:00:00,8744,(V) Amiens,(H) Troyes,0,1,0.550401,2.47583,10.1478,9.9098,9.1629,8.6936,11.8824,12.1258
2017-12-20 19:50:00,8745,(H) Amiens,(V) Nantes,0,1,0.864223,1.13923,9.9098,9.4052,8.6936,8.3703,12.1258,11.6900
2018-01-13 19:00:00,8760,(V) Amiens,(H) Nice,0,1,0.583973,1.2202,9.4052,9.4138,8.3703,8.4698,11.69,11.8576
2018-01-17 18:00:00,8765,(H) Amiens,(V) Montpellier,1,1,0.626049,1.19099,9.4138,9.2131,8.4698,8.1278,11.8576,11.7981
2018-01-20 19:00:00,8775,(H) Amiens,(V) Guingamp,3,1,1.9645,0.175561,9.2131,10.0172,8.1278,8.8791,11.7981,12.1549
2018-01-27 19:00:00,8785,(V) Amiens,(H) Angers,0,1,0.0630897,1.52438,10.0172,10.2921,8.8791,9.0387,12.1549,12.7951
2018-02-03 19:00:00,8795,(H) Amiens,(V) Saint-Etienne,0,2,0.250359,2.70354,10.2921,9.5114,9.0387,8.1447,12.7951,12.6276
2018-02-10 19:00:00,8813,(V) Amiens,(H) Bordeaux,2,3,1.15828,2.19944,9.5114,9.4107,8.1447,8.0337,12.6276,12.7871
2018-02-17 19:00:00,8816,(H) Amiens,(V) Toulouse,0,0,0.510117,0.937757,9.4107,9.3497,8.0337,7.8658,12.7871,12.8330
2018-02-24 19:00:00,8829,(V) Amiens,(H) Nantes,1,0,0.397649,1.11638,9.3497,9.8606,7.8658,7.9470,12.833,13.5236
2018-03-03 19:00:00,8836,(H) Amiens,(V) Rennes,0,2,1.53509,0.984665,9.8606,9.4478,7.947,8.1719,13.5236,12.9732
2018-03-10 19:00:00,8846,(V) Amiens,(H) Dijon,1,1,1.05626,0.96252,9.4478,9.5090,8.1719,8.2565,12.9732,13.0110
2018-03-17 19:00:00,8855,(H) Amiens,(V) Troyes,1,1,0.964633,1.63646,9.509,9.2893,8.2565,7.8688,13.011,12.9592
2018-04-01 16:00:00,8868,(V) Amiens,(H) Lille,1,0,1.24154,0.747275,9.2893,9.5309,7.8688,7.9840,12.9592,13.0772
2018-04-07 18:00:00,8875,(H) Amiens,(V) Caen,3,0,1.65174,1.46645,9.5309,10.0561,7.984,7.8055,13.0772,13.5561
2018-04-14 15:00:00,8889,(V) Amiens,(H) Lyon,0,3,0.286494,2.55803,10.0561,9.7462,7.8055,7.6777,13.5561,13.8141
2018-04-21 18:00:00,8904,(H) Amiens,(V) Strasbourg,3,1,0.787495,2.02481,9.7462,10.0894,7.6777,7.2115,13.8141,14.4666
2018-04-28 18:00:00,8910,(V) Amiens,(H) Monaco,0,0,0.818096,0.52964,10.0894,10.2052,7.2115,7.3994,14.4666,14.5103
2018-05-04 19:45:00,8915,(H) Amiens,(V) Paris Saint Germain,2,2,0.517774,2.05621,10.2052,10.6716,7.3994,7.4812,14.5103,15.3613
2018-05-12 20:00:00,8925,(H) Amiens,(V) Metz,2,0,1.52976,0.814485,10.6716,10.6100,7.4812,7.0984,15.3613,15.1209
2018-05-19 19:00:00,8935,(V) Amiens,(H) Marseille,1,2,0.445794,2.63306,10.61,10.6520,7.0984,6.8436,15.1209,15.7097
2018-08-12 16:00:00,10650,(V) Amiens,(H) Lyon,0,2,0.286084,1.30809,10.652,10.4068,6.8436,6.8429,15.7097,15.7200
2018-08-18 21:00:00,10657,(H) Amiens,(V) Montpellier,1,2,1.11001,0.308208,10.4068,9.8794,6.8429,6.7659,15.72,14.9921
2018-08-25 21:00:00,10669,(H) Amiens,(V) Reims,4,1,2.18312,0.700141,9.8794,10.6390,6.7659,7.1462,14.9921,15.3810
2018-09-02 13:00:00,10680,(V) Amiens,(H) Saint-Etienne,0,0,0.325126,0.737428,10.639,11.0195,7.1462,7.4237,15.381,15.8646
2018-09-15 18:00:00,10683,(H) Amiens,(V) Lille,2,3,1.44867,2.81999,11.0195,10.6421,7.4237,6.9535,15.8646,15.8300
2018-09-22 18:00:00,10701,(V) Amiens,(H) Strasbourg,1,3,0.672883,1.07472,10.6421,9.9619,6.9535,6.6728,15.83,15.2502
2018-09-26 17:00:00,10703,(H) Amiens,(V) Rennes,2,1,0.730869,1.83024,9.9619,10.0256,6.6728,6.2116,15.2502,15.5887
2018-09-29 18:00:00,10714,(V) Amiens,(H) Caen,0,1,0.247116,1.44696,10.0256,10.0597,6.2116,6.1958,15.5887,15.9228
2018-10-06 18:00:00,10723,(H) Amiens,(V) Dijon,1,0,0.301024,0.371877,10.0597,9.8472,6.1958,5.7156,15.9228,15.7280
2018-10-20 15:00:00,10739,(V) Amiens,(H) Paris Saint Germain,0,5,0.573532,2.50391,9.8472,9.4569,5.7156,6.0927,15.728,15.8203
2018-10-27 18:00:00,10743,(H) Amiens,(V) Nantes,1,2,1.03691,1.6779,9.4569,8.9889,6.0927,5.7144,15.8203,15.5125
2018-11-03 19:00:00,10758,(V) Amiens,(H) Nice,0,1,0.702143,1.24182,8.9889,8.9373,5.7144,5.7779,15.5125,15.5958
2018-11-10 19:00:00,10770,(V) Amiens,(H) Toulouse,1,0,0.703611,1.46625,8.9373,9.1442,5.7779,5.5441,15.5958,15.9933
2018-11-25 20:00:00,10773,(H) Amiens,(V) Marseille,1,3,0.994152,1.84765,9.1442,8.8880,5.5441,5.5745,15.9933,15.9504
2018-12-01 19:00:00,10787,(V) Amiens,(H) Nimes,0,3,0.737512,2.01592,8.888,8.5337,5.5745,5.6506,15.9504,15.9157
2018-12-04 18:00:00,10795,(H) Amiens,(V) Monaco,0,2,0.710707,1.77175,8.5337,8.1004,5.6506,5.4521,15.9157,15.7477
2018-12-08 19:00:00,10804,(V) Amiens,(H) Guingamp,2,1,1.57965,1.12624,8.1004,8.6351,5.4521,5.8502,15.7477,16.1690
2018-12-23 00:00:00,10824,(V) Amiens,(H) Bordeaux,1,1,0.348658,0.477339,8.6351,9.2874,5.8502,6.4704,16.169,16.8535
2019-01-08 18:00:00,10813,(H) Amiens,(V) Angers,0,0,1.67735,0.225282,9.2874,9.7180,6.4704,7.2641,16.8535,16.9211
2019-01-12 16:00:00,10839,(H) Amiens,(V) Paris Saint Germain,0,3,0.280069,2.45409,9.718,9.2929,7.2641,7.0455,16.9211,17.0395
2019-01-18 19:45:00,10851,(V) Amiens,(H) Lille,1,2,0.372963,2.42512,9.2929,9.3472,7.0455,6.8368,17.0395,17.6069
2019-01-27 16:00:00,10853,(H) Amiens,(V) Lyon,0,1,0.667387,1.24157,9.3472,9.3194,6.8368,6.9154,17.6069,17.7226
2019-02-02 19:00:00,10868,(V) Amiens,(H) Rennes,0,1,0.681757,1.92834,9.3194,9.4960,6.9154,7.0303,17.7226,18.2108
2019-02-09 19:00:00,10873,(H) Amiens,(V) Caen,1,0,0.830006,0.385482,9.496,9.6477,7.0303,7.0431,18.2108,18.2514
2019-02-16 16:00:00,10888,(V) Amiens,(H) Marseille,0,2,1.0545,1.28871,9.6477,9.4742,7.0431,7.3111,18.2514,18.1365
2019-02-23 19:00:00,10893,(H) Amiens,(V) Nice,1,0,1.66901,0.204022,9.4742,9.6923,7.3111,7.6455,18.1365,17.9884
2019-03-02 19:00:00,10903,(V) Amiens,(H) Reims,2,2,2.06668,1.21225,9.6923,10.1992,7.6455,8.3660,17.9884,18.2817
2019-03-09 19:00:00,10920,(H) Amiens,(V) Nimes,2,1,2.30832,0.756547,10.1992,10.5795,8.366,8.8843,18.2817,18.2741
2019-03-16 19:00:00,10927,(V) Amiens,(H) Angers,0,0,0.513682,1.41618,10.5795,10.6997,8.8843,8.7789,18.2741,18.6200
2019-03-31 13:00:00,10935,(H) Amiens,(V) Bordeaux,0,0,0.663195,0.543639,10.6997,10.3310,8.7789,8.4401,18.62,18.2214
2019-04-06 19:00:00,10943,(H) Amiens,(V) Saint-Etienne,2,2,1.16144,2.00231,10.331,10.3726,8.4401,8.2714,18.2214,18.4732
2019-04-12 18:00:00,10953,(V) Amiens,(H) Dijon,0,0,0.205846,1.31762,10.3726,10.1854,8.2714,7.8063,18.4732,18.5639
2019-04-21 14:00:00,10966,(V) Amiens,(H) Nantes,2,3,0.49349,1.31106,10.1854,9.9833,7.8063,7.6499,18.5639,18.5662
2019-04-28 14:00:00,10973,(H) Amiens,(V) Strasbourg,0,0,0.495867,0.329978,9.9833,10.1292,7.6499,7.8372,18.5662,18.6706
2019-05-05 14:00:00,10991,(V) Amiens,(H) Montpellier,1,1,0.184865,0.557285,10.1292,10.5354,7.8372,8.1503,18.6706,19.1699
2019-05-11 19:00:00,10993,(H) Amiens,(V) Toulouse,0,0,0.735648,0.357155,10.5354,10.4301,8.1503,8.1396,19.1699,18.9700
2019-05-18 19:00:00,11007,(V) Amiens,(H) Monaco,0,2,0.920134,0.853588,10.4301,9.8258,8.1396,8.0520,18.97,18.3491
2019-05-24 19:05:00,11013,(H) Amiens,(V) Guingamp,2,1,2.9567,1.21866,9.8258,9.6073,8.052,8.0180,18.3491,17.6961
2019-08-10 19:00:00,12713,(V) Amiens,(H) Nice,1,2,0.604143,1.86828,9.6073,9.5615,8.018,7.9061,17.6961,17.9663
2019-08-17 19:00:00,12721,(H) Amiens,(V) Lille,1,0,1.07254,0.293318,9.5615,10.1122,7.9061,8.4017,17.9663,18.3222
2019-08-24 19:00:00,12730,(H) Amiens,(V) Nantes,1,2,0.377125,2.0807,10.1122,10.0084,8.4017,8.1220,18.3222,18.6443
2019-08-31 18:00:00,12740,(V) Amiens,(H) Toulouse,0,2,0.27328,1.28893,10.0084,9.4587,8.122,7.8184,18.6443,18.3485
2019-09-13 18:45:00,12757,(H) Amiens,(V) Lyon,2,2,0.384927,1.79736,9.4587,9.9777,7.8184,7.9843,18.3485,19.2206
2019-09-21 18:00:00,12760,(V) Amiens,(H) Metz,2,1,1.64495,1.47876,9.9777,10.2146,7.9843,8.0127,19.2206,19.4160
2019-09-25 17:00:00,12778,(H) Amiens,(V) Bordeaux,1,3,1.33067,0.662691,10.2146,9.9347,8.0127,8.3998,19.416,18.9691
2019-09-28 18:00:00,12781,(V) Amiens,(H) Angers,1,1,1.0426,0.903446,9.9347,10.1865,8.3998,8.6864,18.9691,19.1861
2019-10-04 19:45:00,12791,(H) Amiens,(V) Marseille,3,1,2.90722,0.437853,10.1865,10.5897,8.6864,9.2069,19.1861,18.9719
2019-10-19 19:00:00,12805,(V) Amiens,(H) Nimes,1,1,0.941379,0.317325,10.5897,10.5195,9.2069,9.2927,18.9719,18.7457
2019-10-27 16:00:00,12811,(V) Amiens,(H) Saint-Etienne,2,2,2.00972,0.615946,10.5195,10.4023,9.2927,9.5240,18.7457,18.2801
2019-11-02 19:00:00,12827,(H) Amiens,(V) Brest,1,0,1.37004,0.734059,10.4023,10.5010,9.524,9.5317,18.2801,18.2198
2019-11-10 14:00:00,12833,(V) Amiens,(H) Rennes,1,3,0.473376,3.40531,10.501,10.1124,9.5317,8.9101,18.2198,18.5642
2019-11-23 19:00:00,12846,(H) Amiens,(V) Strasbourg,0,4,0.205703,2.67166,10.1124,8.7067,8.9101,7.8879,18.5642,17.7750
2019-11-30 19:00:00,12856,(V) Amiens,(H) Montpellier,2,4,0.989696,1.35194,8.7067,8.4745,7.8879,8.0651,17.775,17.6334
2019-12-07 19:00:00,12877,(V) Amiens,(H) Monaco,0,3,0.501323,2.64526,8.4745,8.2709,8.0651,8.0755,17.6334,17.9658
2019-12-14 19:00:00,12887,(H) Amiens,(V) Dijon,1,1,0.28916,0.640617,8.2709,8.6367,8.0755,8.3535,17.9658,18.4195
2019-12-21 19:45:00,12897,(V) Amiens,(H) Paris Saint Germain,1,4,0.350562,4.8635,8.6367,9.0116,8.3535,8.3502,18.4195,19.9226
2020-01-11 19:00:00,12900,(H) Amiens,(V) Montpellier,1,2,1.02329,0.846418,9.0116,9.1308,8.3502,8.7636,19.9226,19.9976
2020-01-15 18:00:00,12863,(H) Amiens,(V) Reims,1,1,0.988779,0.338768,9.1308,9.3328,8.7636,9.1281,19.9976,20.0371
2020-01-25 19:00:00,12909,(V) Amiens,(H) Brest,1,2,1.00169,0.805902,9.3328,9.3950,9.1281,9.4892,20.0371,20.0503
2020-02-01 19:00:00,12926,(H) Amiens,(V) Toulouse,0,0,0.803089,0.673436,9.395,8.9698,9.4892,9.0964,20.0503,19.5927
2020-02-05 18:00:00,12937,(V) Amiens,(H) Lyon,0,0,0.244546,0.414472,8.9698,9.4996,9.0964,9.5837,19.5927,20.1650
2020-02-08 19:00:00,12944,(H) Amiens,(V) Monaco,1,2,0.436377,1.28092,9.4996,9.3076,9.5837,9.4305,20.165,20.1841
2020-02-15 16:30:00,12949,(H) Amiens,(V) Paris Saint Germain,4,4,1.51396,3.45174,9.3076,10.0951,9.4305,9.7335,20.1841,21.4560
2020-02-22 19:00:00,12967,(V) Amiens,(H) Strasbourg,0,0,0.0631697,0.63802,10.0951,10.5757,9.7335,10.0704,21.456,22.0803
2020-02-29 19:00:00,12970,(H) Amiens,(V) Metz,0,1,0.901404,0.852598,10.5757,10.2356,10.0704,9.9925,22.0803,21.7280
2020-03-06 19:00:00,12985,(V) Amiens,(H) Marseille,2,2,1.87515,1.06698,10.2356,10.2245,9.9925,10.1834,21.728,21.5148
=======
Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Vendég-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2017-08-05 16:15:00,8566,(V) Amiens,(H) Paris Saint Germain,0,2,0.190301,2.25264,11.7261,10,10.2655,10,10.2499,10,10.7811
2017-08-12 19:00:00,8578,(H) Amiens,(V) Angers,0,2,0.705642,1.47376,10.9303,10.2655,9.9315,10.2499,10.2239,10.7811,10.6392
2017-08-19 19:00:00,8593,(V) Amiens,(H) Saint-Etienne,0,3,1.06947,3.17624,9.7954,9.9315,9.0507,10.2239,9.5664,10.6392,10.2850
2017-08-26 19:00:00,8595,(H) Amiens,(V) Nice,3,0,1.3292,0.247748,9.6718,9.0507,9.4711,9.5664,9.5071,10.285,10.4350
2017-09-09 19:00:00,8611,(V) Amiens,(H) Strasbourg,1,0,0.293267,0.599748,9.6953,9.4711,10.0943,9.5071,9.8037,10.435,11.1348
2017-09-17 14:00:00,8618,(H) Amiens,(V) Marseille,0,2,0.712071,1.44127,9.0917,10.0943,9.6197,9.8037,9.6468,11.1348,10.8424
2017-09-23 19:00:00,8626,(V) Amiens,(H) Caen,0,1,0.0263448,1.76038,9.9315,9.6197,9.4958,9.6468,9.3394,10.8424,11.1520
2017-10-14 19:00:00,8647,(V) Amiens,(H) Toulouse,0,1,0.240109,1.46173,9.4689,9.4958,9.2576,9.3394,9.0458,11.152,11.2192
2017-10-21 19:00:00,8655,(H) Amiens,(V) Bordeaux,1,0,1.107,0.756311,10.3713,9.2576,9.6702,9.0458,9.2960,11.2192,11.5441
2017-10-28 19:00:00,8668,(V) Amiens,(H) Guingamp,1,1,0.354145,0.620527,10.2352,9.6702,10.0372,9.296,9.5964,11.5441,11.9777
2017-11-04 19:00:00,8675,(V) Amiens,(H) Montpellier,1,1,0.497744,0.901077,10.6516,10.0372,10.6186,9.5964,10.0769,11.9777,12.6599
2017-11-17 19:45:00,8685,(H) Amiens,(V) Monaco,1,1,1.40691,0.879149,12.6515,10.6186,10.8464,10.0769,10.4366,12.6599,12.7557
2017-11-20 18:00:00,8635,(H) Amiens,(V) Lille,3,0,1.4818,0.393119,10.527,10.8464,11.2988,10.4366,10.4112,12.7557,12.9360
2017-11-25 19:00:00,8703,(V) Amiens,(H) Metz,2,0,0.934284,1.25584,8.5158,11.2988,11.2347,10.4112,9.7667,12.936,12.9523
2017-11-28 18:00:00,8705,(H) Amiens,(V) Dijon,2,1,0.875002,0.88355,10.3398,11.2347,11.0140,9.7667,9.2939,12.9523,12.7337
2017-12-02 19:00:00,8720,(V) Amiens,(H) Rennes,0,2,0.246144,1.54445,10.5018,11.014,10.4385,9.2939,8.8938,12.7337,12.4828
2017-12-10 14:00:00,8725,(H) Amiens,(V) Lyon,1,2,2.19279,0.953938,11.3005,10.4385,10.2929,8.8938,9.3079,12.4828,12.0275
2017-12-16 19:00:00,8744,(V) Amiens,(H) Troyes,0,1,0.550401,2.47583,10.0645,10.2929,10.0565,9.3079,8.8402,12.0275,12.2725
2017-12-20 19:50:00,8745,(H) Amiens,(V) Nantes,0,1,0.864223,1.13923,9.6215,10.0565,9.5532,8.8402,8.5181,12.2725,11.8379
2018-01-13 19:00:00,8760,(V) Amiens,(H) Nice,0,1,0.583973,1.2202,10.7728,9.5532,9.5620,8.5181,8.6179,11.8379,12.0058
2018-01-17 18:00:00,8765,(H) Amiens,(V) Montpellier,1,1,0.626049,1.19099,9.6548,9.562,9.3606,8.6179,8.2753,12.0058,11.9456
2018-01-20 19:00:00,8775,(H) Amiens,(V) Guingamp,3,1,1.9645,0.175561,10.8762,9.3606,10.1643,8.2753,9.0262,11.9456,12.3021
2018-01-27 19:00:00,8785,(V) Amiens,(H) Angers,0,1,0.0630897,1.52438,10.493,10.1643,10.4397,9.0262,9.1863,12.3021,12.9428
2018-02-03 19:00:00,8795,(H) Amiens,(V) Saint-Etienne,0,2,0.250359,2.70354,9.7607,10.4397,9.6593,9.1863,8.2927,12.9428,12.7757
2018-02-10 19:00:00,8813,(V) Amiens,(H) Bordeaux,2,3,1.15828,2.19944,11.1242,9.6593,9.5585,8.2927,8.1816,12.7757,12.9351
2018-02-17 19:00:00,8816,(H) Amiens,(V) Toulouse,0,0,0.510117,0.937757,10.4861,9.5585,9.4979,8.1816,8.0141,12.9351,12.9814
2018-02-24 19:00:00,8829,(V) Amiens,(H) Nantes,1,0,0.397649,1.11638,10.0495,9.4979,10.0085,8.0141,8.0950,12.9814,13.6717
2018-03-03 19:00:00,8836,(H) Amiens,(V) Rennes,0,2,1.53509,0.984665,10.5525,10.0085,9.5956,8.095,8.3197,13.6717,13.1212
2018-03-10 19:00:00,8846,(V) Amiens,(H) Dijon,1,1,1.05626,0.96252,10.3117,9.5956,9.6569,8.3197,8.4044,13.1212,13.1590
2018-03-17 19:00:00,8855,(H) Amiens,(V) Troyes,1,1,0.964633,1.63646,9.1726,9.6569,9.4374,8.4044,8.0169,13.159,13.1074
2018-04-01 16:00:00,8868,(V) Amiens,(H) Lille,1,0,1.24154,0.747275,9.7355,9.4374,9.6791,8.0169,8.1322,13.1074,13.2256
2018-04-07 18:00:00,8875,(H) Amiens,(V) Caen,3,0,1.65174,1.46645,8.4989,9.6791,10.2043,8.1322,7.9537,13.2256,13.7045
2018-04-14 15:00:00,8889,(V) Amiens,(H) Lyon,0,3,0.286494,2.55803,11.9904,10.2043,9.8944,7.9537,7.8260,13.7045,13.9625
2018-04-21 18:00:00,8904,(H) Amiens,(V) Strasbourg,3,1,0.787495,2.02481,10.0795,9.8944,10.2376,7.826,7.3599,13.9625,14.6151
2018-04-28 18:00:00,8910,(V) Amiens,(H) Monaco,0,0,0.818096,0.52964,9.2084,10.2376,10.3534,7.3599,7.5478,14.6151,14.6588
2018-05-04 19:45:00,8915,(H) Amiens,(V) Paris Saint Germain,2,2,0.517774,2.05621,11.8293,10.3534,10.8198,7.5478,7.6295,14.6588,15.5098
2018-05-12 20:00:00,8925,(H) Amiens,(V) Metz,2,0,1.52976,0.814485,8.4698,10.8198,10.7582,7.6295,7.2467,15.5098,15.2694
2018-05-19 19:00:00,8935,(V) Amiens,(H) Marseille,1,2,0.445794,2.63306,11.709,10.7582,10.8002,7.2467,6.9919,15.2694,15.8582
2018-08-12 16:00:00,10650,(V) Amiens,(H) Lyon,0,2,0.286084,1.30809,11.1425,10.8002,10.5550,6.9919,6.9912,15.8582,15.8685
2018-08-18 21:00:00,10657,(H) Amiens,(V) Montpellier,1,2,1.11001,0.308208,9.7081,10.555,10.0276,6.9912,6.9142,15.8685,15.1406
2018-08-25 21:00:00,10669,(H) Amiens,(V) Reims,4,1,2.18312,0.700141,11.3552,10.0276,10.7603,6.9142,7.2676,15.1406,15.5025
2018-09-02 13:00:00,10680,(V) Amiens,(H) Saint-Etienne,0,0,0.325126,0.737428,10.8715,10.7603,11.1409,7.2676,7.5451,15.5025,15.9862
2018-09-15 18:00:00,10683,(H) Amiens,(V) Lille,2,3,1.44867,2.81999,10.4811,11.1409,10.7703,7.5451,7.0816,15.9862,15.9584
2018-09-22 18:00:00,10701,(V) Amiens,(H) Strasbourg,1,3,0.672883,1.07472,9.9636,10.7703,10.0968,7.0816,6.8076,15.9584,15.3853
2018-09-26 17:00:00,10703,(H) Amiens,(V) Rennes,2,1,0.730869,1.83024,9.8948,10.0968,10.1371,6.8076,6.3231,15.3853,15.7005
2018-09-29 18:00:00,10714,(V) Amiens,(H) Caen,0,1,0.247116,1.44696,10.6588,10.1371,10.1723,6.3231,6.3084,15.7005,16.0357
2018-10-06 18:00:00,10723,(H) Amiens,(V) Dijon,1,0,0.301024,0.371877,8.4264,10.1723,9.9501,6.3084,5.8185,16.0357,15.8312
2018-10-20 15:00:00,10739,(V) Amiens,(H) Paris Saint Germain,0,5,0.573532,2.50391,13.8156,9.9501,9.5424,5.8185,6.1782,15.8312,15.9061
2018-10-27 18:00:00,10743,(H) Amiens,(V) Nantes,1,2,1.03691,1.6779,10.3732,9.5424,9.0701,6.1782,5.7957,15.9061,15.5941
2018-11-03 19:00:00,10758,(V) Amiens,(H) Nice,0,1,0.702143,1.24182,10.3532,9.0701,9.0149,5.7957,5.8556,15.5941,15.6738
2018-11-10 19:00:00,10770,(V) Amiens,(H) Toulouse,1,0,0.703611,1.46625,9.033,9.0149,9.2228,5.8556,5.6228,15.6738,16.0724
2018-11-25 20:00:00,10773,(H) Amiens,(V) Marseille,1,3,0.994152,1.84765,10.3953,9.2228,8.9700,5.6228,5.6566,16.0724,16.0330
2018-12-01 19:00:00,10787,(V) Amiens,(H) Nimes,0,3,0.737512,2.01592,10.6374,8.97,8.6197,5.6566,5.7367,16.033,16.0023
2018-12-04 18:00:00,10795,(H) Amiens,(V) Monaco,0,2,0.710707,1.77175,9.9747,8.6197,8.1893,5.7367,5.5410,16.0023,15.8371
2018-12-08 19:00:00,10804,(V) Amiens,(H) Guingamp,2,1,1.57965,1.12624,9.0464,8.1893,8.7249,5.541,5.9399,15.8371,16.2593
2018-12-23 00:00:00,10824,(V) Amiens,(H) Bordeaux,1,1,0.348658,0.477339,10.6412,8.7249,9.3788,5.9399,6.5616,16.2593,16.9453
2019-01-08 18:00:00,10813,(H) Amiens,(V) Angers,0,0,1.67735,0.225282,10.7402,9.3788,9.8096,6.5616,7.3554,16.9453,17.0131
2019-01-12 16:00:00,10839,(H) Amiens,(V) Paris Saint Germain,0,3,0.280069,2.45409,10.9415,9.8096,9.3848,7.3554,7.1371,17.0131,17.1318
2019-01-18 19:45:00,10851,(V) Amiens,(H) Lille,1,2,0.372963,2.42512,10.8949,9.3848,9.4387,7.1371,6.9279,17.1318,17.6987
2019-01-27 16:00:00,10853,(H) Amiens,(V) Lyon,0,1,0.667387,1.24157,11.1806,9.4387,9.4109,6.9279,7.0066,17.6987,17.8145
2019-02-02 19:00:00,10868,(V) Amiens,(H) Rennes,0,1,0.681757,1.92834,10.0246,9.4109,9.5872,7.0066,7.1213,17.8145,18.3025
2019-02-09 19:00:00,10873,(H) Amiens,(V) Caen,1,0,0.830006,0.385482,9.0775,9.5872,9.7386,7.1213,7.1338,18.3025,18.3427
2019-02-16 16:00:00,10888,(V) Amiens,(H) Marseille,0,2,1.0545,1.28871,10.6068,9.7386,9.5651,7.1338,7.4018,18.3427,18.2278
2019-02-23 19:00:00,10893,(H) Amiens,(V) Nice,1,0,1.66901,0.204022,9.4769,9.5651,9.7834,7.4018,7.7363,18.2278,18.0798
2019-03-02 19:00:00,10903,(V) Amiens,(H) Reims,2,2,2.06668,1.21225,11.5694,9.7834,10.2904,7.7363,8.4569,18.0798,18.3731
2019-03-09 19:00:00,10920,(H) Amiens,(V) Nimes,2,1,2.30832,0.756547,10.5567,10.2904,10.6707,8.4569,8.9751,18.3731,18.3654
2019-03-16 19:00:00,10927,(V) Amiens,(H) Angers,0,0,0.513682,1.41618,10.1247,10.6707,10.7910,8.9751,8.8697,18.3654,18.7113
2019-03-31 13:00:00,10935,(H) Amiens,(V) Bordeaux,0,0,0.663195,0.543639,9.8404,10.791,10.4222,8.8697,8.5308,18.7113,18.3126
