Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Vendég-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2017-11-04 19:00:00,8675,(V) Amiens,(H) Montpellier,1,1,0.497744,0.901077,10.6516,10.0372,10.6186,11.5865,9.5964,10.0769,11.717,11.9777,12.6599
2017-11-17 19:45:00,8685,(H) Amiens,(V) Monaco,1,1,1.40691,0.879149,12.6515,10.6186,10.8464,0.4156,10.0769,10.4366,-7.613,12.6599,12.7557
2017-11-20 18:00:00,8635,(H) Amiens,(V) Lille,3,0,1.4818,0.393119,10.527,10.8464,11.2988,7.4876,10.4366,10.4112,13.0663,12.7557,12.9360
2017-11-25 19:00:00,8703,(V) Amiens,(H) Metz,2,0,0.934284,1.25584,8.5158,11.2988,11.2347,15.9253,10.4112,9.7667,21.6063,12.936,12.9523
2017-11-28 18:00:00,8705,(H) Amiens,(V) Dijon,2,1,0.875002,0.88355,10.3398,11.2347,11.0140,5.9158,9.7667,9.2939,18.5149,12.9523,12.7337
2017-12-02 19:00:00,8720,(V) Amiens,(H) Rennes,0,2,0.246144,1.54445,10.5018,11.014,10.4385,11.1216,9.2939,8.8938,13.6322,12.7337,12.4828
2017-12-10 14:00:00,8725,(H) Amiens,(V) Lyon,1,2,2.19279,0.953938,11.3005,10.4385,10.2929,4.7061,8.8938,9.3079,-11.3541,12.4828,12.0275
2017-12-16 19:00:00,8744,(V) Amiens,(H) Troyes,0,1,0.550401,2.47583,10.0645,10.2929,10.0565,14.6384,9.3079,8.8402,20.7396,12.0275,12.2725
2017-12-20 19:50:00,8745,(H) Amiens,(V) Nantes,0,1,0.864223,1.13923,9.6215,10.0565,9.5532,16.2559,8.8402,8.5181,12.2368,12.2725,11.8379
2018-01-13 19:00:00,8760,(V) Amiens,(H) Nice,0,1,0.583973,1.2202,10.7728,9.5532,9.5620,2.184,8.5181,8.6179,11.8618,11.8379,12.0058
2018-01-17 18:00:00,8765,(H) Amiens,(V) Montpellier,1,1,0.626049,1.19099,9.6548,9.562,9.3606,10.3887,8.6179,8.2753,10.1714,12.0058,11.9456
2018-01-20 19:00:00,8775,(H) Amiens,(V) Guingamp,3,1,1.9645,0.175561,10.8762,9.3606,10.1643,14.569,8.2753,9.0262,15.4338,11.9456,12.3021
2018-01-27 19:00:00,8785,(V) Amiens,(H) Angers,0,1,0.0630897,1.52438,10.493,10.1643,10.4397,13.7236,9.0262,9.1863,10.7631,12.3021,12.9428
2018-02-03 19:00:00,8795,(H) Amiens,(V) Saint-Etienne,0,2,0.250359,2.70354,9.7607,10.4397,9.6593,5.9542,9.1863,8.2927,11.3165,12.9428,12.7757
2018-02-10 19:00:00,8813,(V) Amiens,(H) Bordeaux,2,3,1.15828,2.19944,11.1242,9.6593,9.5585,14.0358,8.2927,8.1816,7.4631,12.7757,12.9351
2018-02-17 19:00:00,8816,(H) Amiens,(V) Toulouse,0,0,0.510117,0.937757,10.4861,9.5585,9.4979,21.3931,8.1816,8.0141,11.078,12.9351,12.9814
2018-02-24 19:00:00,8829,(V) Amiens,(H) Nantes,1,0,0.397649,1.11638,10.0495,9.4979,10.0085,16.4455,8.0141,8.0950,12.6534,12.9814,13.6717
2018-03-03 19:00:00,8836,(H) Amiens,(V) Rennes,0,2,1.53509,0.984665,10.5525,10.0085,9.5956,11.1755,8.095,8.3197,13.9293,13.6717,13.1212
2018-03-10 19:00:00,8846,(V) Amiens,(H) Dijon,1,1,1.05626,0.96252,10.3117,9.5956,9.6569,6.8049,8.3197,8.4044,20.3195,13.1212,13.1590
2018-03-17 19:00:00,8855,(H) Amiens,(V) Troyes,1,1,0.964633,1.63646,9.1726,9.6569,9.4374,15.0695,8.4044,8.0169,20.7744,13.159,13.1074
2018-04-01 16:00:00,8868,(V) Amiens,(H) Lille,1,0,1.24154,0.747275,9.7355,9.4374,9.6791,6.9,8.0169,8.1322,15.8205,13.1074,13.2256
2018-04-07 18:00:00,8875,(H) Amiens,(V) Caen,3,0,1.65174,1.46645,8.4989,9.6791,10.2043,13.8497,8.1322,7.9537,17.8985,13.2256,13.7045
2018-04-14 15:00:00,8889,(V) Amiens,(H) Lyon,0,3,0.286494,2.55803,11.9904,10.2043,9.8944,3.8503,7.9537,7.8260,-11.8685,13.7045,13.9625
2018-04-21 18:00:00,8904,(H) Amiens,(V) Strasbourg,3,1,0.787495,2.02481,10.0795,9.8944,10.2376,11.6878,7.826,7.3599,13.4713,13.9625,14.6151
2018-04-28 18:00:00,8910,(V) Amiens,(H) Monaco,0,0,0.818096,0.52964,9.2084,10.2376,10.3534,-5.7624,7.3599,7.5478,-11.5711,14.6151,14.6588
2018-05-04 19:45:00,8915,(H) Amiens,(V) Paris Saint Germain,2,2,0.517774,2.05621,11.8293,10.3534,10.8198,1.6239,7.5478,7.6295,-44.7151,14.6588,15.5098
2018-05-12 20:00:00,8925,(H) Amiens,(V) Metz,2,0,1.52976,0.814485,8.4698,10.8198,10.7582,14.9065,7.6295,7.2467,26.7833,15.5098,15.2694
2018-05-19 19:00:00,8935,(V) Amiens,(H) Marseille,1,2,0.445794,2.63306,11.709,10.7582,10.8002,8.6577,7.2467,6.9919,-7.238,15.2694,15.8582
2018-08-12 16:00:00,10650,(V) Amiens,(H) Lyon,0,2,0.286084,1.30809,11.1425,10.8002,10.5550,2.4982,6.9919,6.9912,-14.9622,15.8582,15.8685
2018-08-18 21:00:00,10657,(H) Amiens,(V) Montpellier,1,2,1.11001,0.308208,9.7081,10.555,10.0276,10.2543,6.9912,6.9142,10.9124,15.8685,15.1406
2018-08-25 21:00:00,10669,(H) Amiens,(V) Reims,4,1,2.18312,0.700141,11.3552,10.0276,10.7603,12.2971,6.9142,7.2676,17.9134,15.1406,15.5025
2018-09-02 13:00:00,10680,(V) Amiens,(H) Saint-Etienne,0,0,0.325126,0.737428,10.8715,10.7603,11.1409,4.7645,7.2676,7.5451,11.2276,15.5025,15.9862
2018-09-15 18:00:00,10683,(H) Amiens,(V) Lille,2,3,1.44867,2.81999,10.4811,11.1409,10.7703,8.7209,7.5451,7.0816,16.2407,15.9862,15.9584
2018-09-22 18:00:00,10701,(V) Amiens,(H) Strasbourg,1,3,0.672883,1.07472,9.9636,10.7703,10.0968,12.5073,7.0816,6.8076,13.4199,15.9584,15.3853
2018-09-26 17:00:00,10703,(H) Amiens,(V) Rennes,2,1,0.730869,1.83024,9.8948,10.0968,10.1371,10.4634,6.8076,6.3231,12.0759,15.3853,15.7005
2018-09-29 18:00:00,10714,(V) Amiens,(H) Caen,0,1,0.247116,1.44696,10.6588,10.1371,10.1723,16.1677,6.3231,6.3084,22.6503,15.7005,16.0357
2018-10-06 18:00:00,10723,(H) Amiens,(V) Dijon,1,0,0.301024,0.371877,8.4264,10.1723,9.9501,5.3877,6.3084,5.8185,19.7163,16.0357,15.8312
2018-10-20 15:00:00,10739,(V) Amiens,(H) Paris Saint Germain,0,5,0.573532,2.50391,13.8156,9.9501,9.5424,2.3403,5.8185,6.1782,-47.4585,15.8312,15.9061
2018-10-27 18:00:00,10743,(H) Amiens,(V) Nantes,1,2,1.03691,1.6779,10.3732,9.5424,9.0701,18.9607,6.1782,5.7957,13.0356,15.9061,15.5941
2018-11-03 19:00:00,10758,(V) Amiens,(H) Nice,0,1,0.702143,1.24182,10.3532,9.0701,9.0149,0.6633,5.7957,5.8556,12.5435,15.5941,15.6738
2018-11-10 19:00:00,10770,(V) Amiens,(H) Toulouse,1,0,0.703611,1.46625,9.033,9.0149,9.2228,20.524,5.8556,5.6228,12.5407,15.6738,16.0724
2018-11-25 20:00:00,10773,(H) Amiens,(V) Marseille,1,3,0.994152,1.84765,10.3953,9.2228,8.9700,7.6146,5.6228,5.6566,-9.8225,16.0724,16.0330
2018-12-01 19:00:00,10787,(V) Amiens,(H) Nimes,0,3,0.737512,2.01592,10.6374,8.97,8.6197,9.4065,5.6566,5.7367,12.1182,16.033,16.0023
2018-12-04 18:00:00,10795,(H) Amiens,(V) Monaco,0,2,0.710707,1.77175,9.9747,8.6197,8.1893,-3.2002,5.7367,5.5410,-11.3504,16.0023,15.8371
2018-12-08 19:00:00,10804,(V) Amiens,(H) Guingamp,2,1,1.57965,1.12624,9.0464,8.1893,8.7249,17.2824,5.541,5.9399,16.3112,15.8371,16.2593
2018-12-23 00:00:00,10824,(V) Amiens,(H) Bordeaux,1,1,0.348658,0.477339,10.6412,8.7249,9.3788,12.4198,5.9399,6.5616,6.1133,16.2593,16.9453
2019-01-08 18:00:00,10813,(H) Amiens,(V) Angers,0,0,1.67735,0.225282,10.7402,9.3788,9.8096,15.7337,6.5616,7.3554,10.4975,16.9453,17.0131
2019-01-12 16:00:00,10839,(H) Amiens,(V) Paris Saint Germain,0,3,0.280069,2.45409,10.9415,9.8096,9.3848,-0.9118,7.3554,7.1371,-53.4545,17.0131,17.1318
2019-01-18 19:45:00,10851,(V) Amiens,(H) Lille,1,2,0.372963,2.42512,10.8949,9.3848,9.4387,8.3797,7.1371,6.9279,15.4097,17.1318,17.6987
2019-01-27 16:00:00,10853,(H) Amiens,(V) Lyon,0,1,0.667387,1.24157,11.1806,9.4387,9.4109,1.5682,6.9279,7.0066,-16.4555,17.6987,17.8145
2019-02-02 19:00:00,10868,(V) Amiens,(H) Rennes,0,1,0.681757,1.92834,10.0246,9.4109,9.5872,11.8961,7.0066,7.1213,10.6524,17.8145,18.3025
2019-02-09 19:00:00,10873,(H) Amiens,(V) Caen,1,0,0.830006,0.385482,9.0775,9.5872,9.7386,14.1403,7.1213,7.1338,23.7644,18.3025,18.3427
2019-02-16 16:00:00,10888,(V) Amiens,(H) Marseille,0,2,1.0545,1.28871,10.6068,9.7386,9.5651,8.0024,7.1338,7.4018,-10.037,18.3427,18.2278
2019-02-23 19:00:00,10893,(H) Amiens,(V) Nice,1,0,1.66901,0.204022,9.4769,9.5651,9.7834,-0.0959,7.4018,7.7363,11.8001,18.2278,18.0798
2019-03-02 19:00:00,10903,(V) Amiens,(H) Reims,2,2,2.06668,1.21225,11.5694,9.7834,10.2904,11.8792,7.7363,8.4569,18.51,18.0798,18.3731
2019-03-09 19:00:00,10920,(H) Amiens,(V) Nimes,2,1,2.30832,0.756547,10.5567,10.2904,10.6707,8.5408,8.4569,8.9751,12.8227,18.3731,18.3654
2019-03-16 19:00:00,10927,(V) Amiens,(H) Angers,0,0,0.513682,1.41618,10.1247,10.6707,10.7910,14.8702,8.9751,8.8697,9.6302,18.3654,18.7113
2019-03-31 13:00:00,10935,(H) Amiens,(V) Bordeaux,0,0,0.663195,0.543639,9.8404,10.791,10.4222,10.6594,8.8697,8.5308,7.0221,18.7113,18.3126
2019-04-06 19:00:00,10943,(H) Amiens,(V) Saint-Etienne,2,2,1.16144,2.00231,11.569,10.4222,10.4636,5.6615,8.5308,8.3620,9.9756,18.3126,18.5643
2019-04-12 18:00:00,10953,(V) Amiens,(H) Dijon,0,0,0.205846,1.31762,10.1164,10.4636,10.2763,7.5274,8.362,7.8968,26.2064,18.5643,18.6550
2019-04-21 14:00:00,10966,(V) Amiens,(H) Nantes,2,3,0.49349,1.31106,10.6825,10.2763,10.0742,19.3108,7.8968,7.7403,13.3036,18.655,18.6573
2019-04-28 14:00:00,10973,(H) Amiens,(V) Strasbourg,0,0,0.495867,0.329978,10.3042,10.0742,10.2201,7.2016,7.7403,7.9276,16.1566,18.6573,18.7617
2019-05-05 14:00:00,10991,(V) Amiens,(H) Montpellier,1,1,0.184865,0.557285,11.208,10.2201,10.6264,10.2346,7.9276,8.2408,10.9322,18.7617,19.2611
2019-05-11 19:00:00,10993,(H) Amiens,(V) Toulouse,0,0,0.735648,0.357155,9.9669,10.6264,10.5212,22.2876,8.2408,8.2302,14.8945,19.2611,19.0613
2019-05-18 19:00:00,11007,(V) Amiens,(H) Monaco,0,2,0.920134,0.853588,9.6878,10.5212,9.9169,-1.5186,8.2302,8.1426,-11.3559,19.0613,18.4404
2019-05-24 19:05:00,11013,(H) Amiens,(V) Guingamp,2,1,2.9567,1.21866,9.4224,9.9169,9.6984,19.4829,8.1426,8.1086,19.3625,18.4404,17.7874
2019-08-10 19:00:00,12713,(V) Amiens,(H) Nice,1,2,0.604143,1.86828,10.3841,9.6984,9.6525,0.2698,8.1086,7.9967,12.7494,17.7874,18.0576
2019-08-17 19:00:00,12721,(H) Amiens,(V) Lille,1,0,1.07254,0.293318,11.2999,9.6525,10.2032,6.1804,7.9967,8.4922,12.4191,18.0576,18.4135
2019-08-24 19:00:00,12730,(H) Amiens,(V) Nantes,1,2,0.377125,2.0807,10.6766,10.2032,10.0994,19.0184,8.4922,8.2125,12.8342,18.4135,18.7356
2019-08-31 18:00:00,12740,(V) Amiens,(H) Toulouse,0,2,0.27328,1.28893,8.9655,10.0994,9.5440,21.5632,8.2125,7.9032,15.3662,18.7356,18.4341
2019-09-13 18:45:00,12757,(H) Amiens,(V) Lyon,2,2,0.384927,1.79736,11.6006,9.544,10.0630,2.3618,7.9032,8.0691,-21.6589,18.4341,19.3062
2019-09-21 18:00:00,12760,(V) Amiens,(H) Metz,2,1,1.64495,1.47876,8.8659,10.063,10.3040,16.4137,8.0691,8.1016,28.5685,19.3062,19.5057
2019-09-25 17:00:00,12778,(H) Amiens,(V) Bordeaux,1,3,1.33067,0.662691,10.9483,10.304,10.0267,11.6882,8.1016,8.4913,8.9595,19.5057,19.0614
2019-09-28 18:00:00,12781,(V) Amiens,(H) Angers,1,1,1.0426,0.903446,11.3603,10.0267,10.2792,17.1348,8.4913,8.7786,9.836,19.0614,19.2791
2019-10-04 19:45:00,12791,(H) Amiens,(V) Marseille,3,1,2.90722,0.437853,10.0747,10.2792,10.6821,7.0977,8.7786,9.2988,-11.4465,19.2791,19.0647
2019-10-19 19:00:00,12805,(V) Amiens,(H) Nimes,1,1,0.941379,0.317325,9.7985,10.6821,10.6095,8.2532,9.2988,9.3822,12.0938,19.0647,18.8361
2019-10-27 16:00:00,12811,(V) Amiens,(H) Saint-Etienne,2,2,2.00972,0.615946,10.5929,10.6095,10.4910,2.7298,9.3822,9.6122,9.4553,18.8361,18.3692
2019-11-02 19:00:00,12827,(H) Amiens,(V) Brest,1,0,1.37004,0.734059,11.0107,10.491,10.5895,9.4294,9.6122,9.6197,12.5919,18.3692,18.3087
2019-11-10 14:00:00,12833,(V) Amiens,(H) Rennes,1,3,0.473376,3.40531,10.222,10.5895,10.2009,10.5288,9.6197,8.9981,11.1644,18.3087,18.6531
2019-11-23 19:00:00,12846,(H) Amiens,(V) Strasbourg,0,4,0.205703,2.67166,10.1518,10.2009,8.7958,8.6406,8.9981,7.9765,15.6632,18.6531,17.8645
2019-11-30 19:00:00,12856,(V) Amiens,(H) Montpellier,2,4,0.989696,1.35194,11.0645,8.7958,8.5636,10.4457,7.9765,8.1538,9.4341,17.8645,17.7229
2019-12-07 19:00:00,12877,(V) Amiens,(H) Monaco,0,3,0.501323,2.64526,10.2298,8.5636,8.3600,0.8487,8.1538,8.1642,-12.1397,17.7229,18.0553
2019-12-14 19:00:00,12887,(H) Amiens,(V) Dijon,1,1,0.28916,0.640617,10.2173,8.36,8.7258,8.4941,8.1642,8.4421,28.6917,18.0553,18.5089
2019-12-21 19:45:00,12897,(V) Amiens,(H) Paris Saint Germain,1,4,0.350562,4.8635,13.24,8.7258,9.1007,1.1189,8.4421,8.4388,-65.8877,18.5089,20.0120
2020-01-11 19:00:00,12900,(H) Amiens,(V) Montpellier,1,2,1.02329,0.846418,11.7206,9.1007,9.2199,10.6217,8.4388,8.8522,9.8203,20.012,20.0870
2020-01-15 18:00:00,12863,(H) Amiens,(V) Reims,1,1,0.988779,0.338768,9.321,9.2199,9.4219,10.5998,8.8522,9.2167,15.7926,20.087,20.1265
2020-01-25 19:00:00,12909,(V) Amiens,(H) Brest,1,2,1.00169,0.805902,10.299,9.4219,9.4841,6.9155,9.2167,9.5779,13.6825,20.1265,20.1398
2020-02-01 19:00:00,12926,(H) Amiens,(V) Toulouse,0,0,0.803089,0.673436,8.1492,9.4841,9.0589,23.7378,9.5779,9.1851,17.309,20.1398,19.6822
2020-02-05 18:00:00,12937,(V) Amiens,(H) Lyon,0,0,0.244546,0.414472,10.9729,9.0589,9.5888,2.2321,9.1851,9.6725,-24.2844,19.6822,20.2546
2020-02-08 19:00:00,12944,(H) Amiens,(V) Monaco,1,2,0.436377,1.28092,9.91,9.5888,9.3968,0.1359,9.6725,9.5194,-12.3165,20.2546,20.2738
2020-02-15 16:30:00,12949,(H) Amiens,(V) Paris Saint Germain,4,4,1.51396,3.45174,12.9648,9.3968,10.1843,0.3177,9.5194,9.8224,-69.6368,20.2738,21.5457
2020-02-22 19:00:00,12967,(V) Amiens,(H) Strasbourg,0,0,0.0631697,0.63802,10.9621,10.1843,10.6650,8.5864,9.8224,10.1593,15.8383,21.5457,22.1701
2020-02-29 19:00:00,12970,(H) Amiens,(V) Metz,0,1,0.901404,0.852598,9.7942,10.665,10.3250,16.72,10.1593,10.0815,31.6191,22.1701,21.8179
2020-03-06 19:00:00,12985,(V) Amiens,(H) Marseille,2,2,1.87515,1.06698,10.6881,10.325,10.3138,6.1026,10.0815,10.2724,-11.975,21.8179,21.6047
